Stigma,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril
Had an Abortion Previously,3.2,4.1,3.3,2.7,3.4,2.23
Heart Attack Recent Average Impairment,3.0,4.0,2.8,1.7,2.5,1.3
Infertile,2.9,5.0,2.2,2.2,2.8,0.3
Intersex,2.9,5.3,2.9,2.4,3.1,2.5
Jewish,2.0,4.2,1.2,0.6,3.3,0.4
Lesbian/Gay/Bisexual/Nonheterosexual,2.0,4.3,2.7,2.6,3.0,2.0
Less Than a High School Education,2.8,4.5,2.8,2.8,3.9,2.8
Limb Scars,2.3,3.5,1.9,2.5,3.6,0.8
Lung Cancer Current Average Symptoms,3.6,4.5,2.2,2.4,2.7,1.3
Lung Cancer Remitted,2.6,4.3,0.7,1.0,2.9,0.0
Movement/Gait Impairment Remitted Average Severity,2.6,3.7,2.4,2.3,2.5,0.3
Prostate Cancer Current Average Symptoms,3.6,4.0,1.8,2.0,2.6,0.1
Prostate Cancer Remitted,2.4,4.4,0.9,0.7,2.3,0.0
Psoriasis Remitted Average Severity,2.3,3.4,1.6,2.2,2.4,0.7
Teen Parent Currently,2.6,3.1,2.6,2.2,3.2,2.6
Teen Parent Previously,2.7,3.0,2.5,2.0,2.8,2.4
Unemployed,2.8,3.9,2.6,1.98,3.5,0.7
Voluntarily Childless,2.8,4.0,1.8,2.2,3.8,0.6
Was Raped Previously,4.5,5.6,4.2,4.4,3.5,3.9
Working Class or Poor,3.3,4.8,2.5,2.1,3.0,1.3
Working in a Manual Industry,2.7,3.8,2.2,1.7,3.1,1.2
Working in a Service Industry,2.3,3.4,2.6,2.4,2.8,1.3
Alcohol Dependency Remitted,1.9,2.9,1.7,1.2,2.9,0.7
Depression Symptomatic,2.5,3.8,3.3,2.12,2.7,1.7
Drug Dependency Remitted,2.1,4.05,1.4,1.3,2.6,0.7
Fat/Overweight/Obese Current Average Severity,2.9,3.5,2.7,2.8,3.3,2.5
Fat/Overweight/Obese Remitted Average Severity,2.3,4.2,2.4,2.5,2.6,2.0
Fecal Incontinence,3.9,3.4,3.4,3.6,2.5,2.8
Having Sex for Money,3.8,4.8,3.8,3.9,2.9,3.0
Illiteracy,3.4,4.9,2.9,2.3,3.0,0.9
Living in a Trailer Park,3.2,4.2,2.7,2.8,3.6,2.5
Living in Public Housing,2.8,3.7,2.8,2.7,3.1,2.7
Marijuana Use Recreationally,2.0,3.8,2.1,1.6,3.2,1.0
Multiple Body Piercings,2.3,3.9,2.4,2.6,3.2,2.0
Multiple Facial Piercings,2.6,4.1,2.7,2.9,3.5,1.6
Multiple Tattoos,2.5,3.3,2.4,2.5,3.0,2.2
Muslim,1.8,3.9,1.2,1.8,3.2,1.1
Polyamorous,2.3,4.6,3.1,2.4,3.1,2.6
Psoriasis Current Average Severity,2.9,2.8,2.4,2.6,2.9,2.4
Schizophrenia Remitted,2.1,4.5,2.3,2.0,2.1,1.0
Smoking Cigarettes Daily,2.8,5.5,3.0,2.9,2.8,2.5
Transgender,2.2,4.2,3.2,2.3,3.1,2.9
Undocumented Immigrant,3.9,5.8,3.3,2.6,2.8,2.9
Urinary Incontinence,3.1,3.6,2.6,2.7,2.5,2.2
